id,member,nickname,rating,contents,menus,dateText
2020082700099402,190422012344,어효야,4,맛있었습니다,순살양념치킨,오늘
2020082600304932,190907019827,샬롱,5,"떡사리 서비스 감사합니당! 존맛이에용",순살양념치킨,어제
2020082600203459,201405033402,syoo****,3,"닭은 맛있고 다 좋은데 밥이 너무 딱딱해요

즉섭밥 1500원이라고 되있는데 차라리 햇반을 보내 주시는게 낳을 거 같아요

지코바 치밥 먹을라고 먹는건데 밥이 저러면 실망이 커요",순살양념치킨,어제
2020082600196721,180916012068,Renee,5,"순한 맛은 처음 시켜봤는데 많이 안 맵고 좋네요. 늘 떡이랑 치킨 퀄리티가 좋아요. 그리고 오늘 배달이 엄청 일찍 왔어요. 감사합니다~^^",순살양념치킨,어제
2020082600151190,191213002051,쥐돌,5,"이벤트로 이것저것 챙겨주시고 요청사항 잘 들어주셔서 더 맛있게 먹었어요 ~",순살양념치킨,어제
2020082600094007,190115007174,최승철,5,"맛잇어요 공기밥도 따끈따끈",양념치킨,어제
2020082600076729,190811024258,h1yn004,5,"매콤한맛인데 전보다 덜매워진건지 전혀 안매워서 좀 아쉽네요ㅠ 그래도 오랜만에 잘 먹었습니다!",순살양념치킨,"어제, 수정됨"
2020082600044265,170624004873,ghch****,5,"언제시켜도 맛있는 지코바 순살 양념👍👍",순살양념치킨,어제
2020082600032901,160915001792,돼지고릴라,5,"역시 지코바는지코바네요 맛이 최곱니다",순살양념치킨,어제
2020082500272805,200321010859,장진우,5,,순살양념치킨,그제
2020082500255157,180812023162,나아암,5,"그저 맛있을쁜",순살양념치킨,그제
2020082500228066,180214007101,쭈똥팔구,5,"오늘 매우 맛있습니당!",순살양념치킨,그제
2020082500194874,180211009098,noses6068,5,"지코바넘맛있어요. 지코바는 역시 떡사리 추가에 치밥이예요",순살양념치킨,그제
2020082500165608,201209090074,먹슐랭,5,"오픈당시 사무실 앞이라 홀에 자주가곤 했는데 사무실 이전 하고나서 거진 2년 만에 먹네요ㅎ 맛이 한층 업그레이드 됫네요!
그때는 껍질이 살아있었데 지금은 약간 껍질없는 뻑살느낌이 없지않아 있는거 같아요..
일단 맛있어서 별 5!",순살양념치킨,그제
2020082500109045,190329008724,만두찐빵,5,"존맛탱 지코바 is 진리",순살양념치킨,그제
2020082500064243,170726004040,다먹어줄꺼야,4,"오랜만에 시켰는데 맛있네요",순살양념치킨,그제
2020082500046046,180210020789,송파윌리,3,"조금 탄부위가 많아서 치킨이 쓰네요 좋게 적을라고 했는데 너무탔습니다",순살양념치킨,그제
2020082500042348,160906003100,세상비글쩡,5,"배달도 생각보다 빨리왔고 맛있어요! 떡이 쥬금 딱딱한거 빼곤 ㅠㅠ",순살양념치킨,그제
2020082500017986,180614001820,도도해,5,"역시 치밥은 지코바.",순살양념치킨,그제
2020082400284171,200107000528,djchu90,5,,순살양념치킨,"이번 주"
2020082400269435,200729004079,ggss62,5,"너무 맛있게 잘먹었습니다!!ㅎ",순살양념치킨,"이번 주"
2020082400264365,181208018816,MEENZINO,5,"동네 지코바가 별로라 송파1호점에서 시켰는데 맛있게 잘 먹었어요! 매운맛이 원래 먹던것보단 덜매워 오히려 먹기 편했네요. 근데 먹고 나면 입주위가 싸~해요 ㅋㅋㅋ 소스 제발 많이주고 수저안주셔도 된다했는데 못보셨나봐요.. 소스도 얼마없고 수저가 왔네요. 그래도 서비스로 주신 음료와 떡사리와 공깃밥 덕에 배부르고 완벽한 식사가 됐어요ㅎㅎ 담에 또 주문할테니 그땐 소스 많이 부탁드려요 😉",양념치킨,"이번 주"
2020082400263507,180811010000,꿈꾸,5,"잘 먹었습니다~~",순살소금구이,"이번 주"
